"","variable","activity","subject","average"
"1","fBodyAcc-mean-X","LAYING",1,-0.9390990524
"2","fBodyAcc-mean-X","LAYING",2,-0.976725059791667
"3","fBodyAcc-mean-X","LAYING",3,-0.980665609032258
"4","fBodyAcc-mean-X","LAYING",4,-0.958802077592593
"5","fBodyAcc-mean-X","LAYING",5,-0.968741678461538
"6","fBodyAcc-mean-X","LAYING",6,-0.939114254210526
"7","fBodyAcc-mean-X","LAYING",7,-0.953424245576923
"8","fBodyAcc-mean-X","LAYING",8,-0.953538563888889
"9","fBodyAcc-mean-X","LAYING",9,-0.946865494
"10","fBodyAcc-mean-X","LAYING",10,-0.96918420862069
"11","fBodyAcc-mean-X","LAYING",11,-0.983801365614035
"12","fBodyAcc-mean-X","LAYING",12,-0.956248487666667
"13","fBodyAcc-mean-X","LAYING",13,-0.974716920483871
"14","fBodyAcc-mean-X","LAYING",14,-0.933936178235294
"15","fBodyAcc-mean-X","LAYING",15,-0.974016176527778
"16","fBodyAcc-mean-X","LAYING",16,-0.980213187428571
"17","fBodyAcc-mean-X","LAYING",17,-0.974359280140845
"18","fBodyAcc-mean-X","LAYING",18,-0.985179972153846
"19","fBodyAcc-mean-X","LAYING",19,-0.97453373
"20","fBodyAcc-mean-X","LAYING",20,-0.965728781617647
"21","fBodyAcc-mean-X","LAYING",21,-0.968234375555556
"22","fBodyAcc-mean-X","LAYING",22,-0.953758542777778
"23","fBodyAcc-mean-X","LAYING",23,-0.970037238333333
"24","fBodyAcc-mean-X","LAYING",24,-0.975893687083333
"25","fBodyAcc-mean-X","LAYING",25,-0.929147371232877
"26","fBodyAcc-mean-X","LAYING",26,-0.973262289210526
"27","fBodyAcc-mean-X","LAYING",27,-0.980631846891892
"28","fBodyAcc-mean-X","LAYING",28,-0.9739308675
"29","fBodyAcc-mean-X","LAYING",29,-0.986626999275362
"30","fBodyAcc-mean-X","LAYING",30,-0.974789999285714
"31","fBodyAcc-mean-X","SITTING",1,-0.979641238723404
"32","fBodyAcc-mean-X","SITTING",2,-0.985803840652174
"33","fBodyAcc-mean-X","SITTING",3,-0.970154440961538
"34","fBodyAcc-mean-X","SITTING",4,-0.9774624984
"35","fBodyAcc-mean-X","SITTING",5,-0.977450812045455
"36","fBodyAcc-mean-X","SITTING",6,-0.975351454727273
"37","fBodyAcc-mean-X","SITTING",7,-0.972697126875
"38","fBodyAcc-mean-X","SITTING",8,-0.981142909782609
"39","fBodyAcc-mean-X","SITTING",9,-0.959413594
"40","fBodyAcc-mean-X","SITTING",10,-0.984943144259259
"41","fBodyAcc-mean-X","SITTING",11,-0.981481454339623
"42","fBodyAcc-mean-X","SITTING",12,-0.97966614372549
"43","fBodyAcc-mean-X","SITTING",13,-0.990135477755102
"44","fBodyAcc-mean-X","SITTING",14,-0.976456609259259
"45","fBodyAcc-mean-X","SITTING",15,-0.986619609491525
"46","fBodyAcc-mean-X","SITTING",16,-0.987043828985507
"47","fBodyAcc-mean-X","SITTING",17,-0.9939693815625
"48","fBodyAcc-mean-X","SITTING",18,-0.993144920175439
"49","fBodyAcc-mean-X","SITTING",19,-0.979238031780822
"50","fBodyAcc-mean-X","SITTING",20,-0.981203064242424
"51","fBodyAcc-mean-X","SITTING",21,-0.990610228
"52","fBodyAcc-mean-X","SITTING",22,-0.978505368225806
"53","fBodyAcc-mean-X","SITTING",23,-0.986325670882353
"54","fBodyAcc-mean-X","SITTING",24,-0.989529506764706
"55","fBodyAcc-mean-X","SITTING",25,-0.991405498153846
"56","fBodyAcc-mean-X","SITTING",26,-0.982579546025641
"57","fBodyAcc-mean-X","SITTING",27,-0.988682108428571
"58","fBodyAcc-mean-X","SITTING",28,-0.979820142638889
"59","fBodyAcc-mean-X","SITTING",29,-0.991093963666667
"60","fBodyAcc-mean-X","SITTING",30,-0.985008785
"61","fBodyAcc-mean-X","STANDING",1,-0.995249932641509
"62","fBodyAcc-mean-X","STANDING",2,-0.983946739814815
"63","fBodyAcc-mean-X","STANDING",3,-0.960123409508197
"64","fBodyAcc-mean-X","STANDING",4,-0.973497549642857
"65","fBodyAcc-mean-X","STANDING",5,-0.964500917321429
"66","fBodyAcc-mean-X","STANDING",6,-0.977100287368421
"67","fBodyAcc-mean-X","STANDING",7,-0.976681834339623
